age,gender,race,Soma de time_in_hospital,Soma de num_medications,Soma de risk_score,Soma de target
[0-10),Female,"",2,4,0,0
[0-10),Female,AfricanAmerican,21,45,0,0
[0-10),Female,Asian,4,9,0,0
[0-10),Female,Caucasian,189,499,1,1
[0-10),Female,Hispanic,5,8,0,0
[10-20),Female,"",4,25,0,0
[10-20),Female,AfricanAmerican,394,1019,19,7
[10-20),Female,Asian,4,10,0,0
[10-20),Female,Caucasian,762,2127,31,16
[10-20),Female,Hispanic,31,106,1,0
[10-20),Female,Other,9,32,0,1
[20-30),Female,"",131,374,8,3
[20-30),Female,AfricanAmerican,1438,4575,116,47
[20-30),Female,Asian,12,49,0,0
[20-30),Female,Caucasian,2198,8224,251,125
[20-30),Female,Hispanic,151,495,3,1
[20-30),Female,Other,32,125,3,1
[30-40),Female,"",158,561,2,2
[30-40),Female,AfricanAmerican,3038,11003,209,82
[30-40),Female,Asian,33,100,1,0
[30-40),Female,Caucasian,4439,17715,318,145
[30-40),Female,Hispanic,332,1294,16,5
[30-40),Female,Other,164,591,15,8
[40-50),Female,"",342,1389,10,3
[40-50),Female,AfricanAmerican,6827,24761,514,183
[40-50),Female,Asian,63,314,4,3
[40-50),Female,Caucasian,11523,46935,861,305
[40-50),Female,Hispanic,638,2357,48,13
[40-50),Female,Other,256,984,8,4
[50-60),Female,"",699,2733,22,13
[50-60),Female,AfricanAmerican,10710,40547,781,230
[50-60),Female,Asian,190,593,11,2
[50-60),Female,Caucasian,22982,96148,1653,585
[50-60),Female,Hispanic,823,2919,39,13
[50-60),Female,Other,482,1920,21,8
[60-70),Female,"",948,3605,34,13
[60-70),Female,AfricanAmerican,11329,40339,896,267
[60-70),Female,Asian,284,1015,16,4
[60-70),Female,Caucasian,35037,140767,2791,863
[60-70),Female,Hispanic,1046,3693,78,34
[60-70),Female,Other,853,3032,61,25
[70-80),Female,"",1361,5051,86,26
[70-80),Female,AfricanAmerican,11687,38112,1013,301
[70-80),Female,Asian,368,1222,23,10
[70-80),Female,Caucasian,50395,181333,4470,1255
[70-80),Female,Hispanic,916,3224,77,23
[70-80),Female,Other,846,2744,57,20
[80-90),Female,"",1160,3453,87,28
[80-90),Female,AfricanAmerican,6509,19439,609,152
[80-90),Female,Asian,253,795,21,5
[80-90),Female,Caucasian,42484,136380,4158,1077
[80-90),Female,Hispanic,434,1253,25,10
[80-90),Female,Other,464,1553,43,10
[90-100),Female,"",214,644,14,3
[90-100),Female,AfricanAmerican,1307,3521,99,31
[90-100),Female,Asian,29,90,0,0
[90-100),Female,Caucasian,7855,23325,659,188
[90-100),Female,Hispanic,86,175,3,1
[90-100),Female,Other,75,252,4,0
